LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,GDP,TOT,USD_CAP,A,2005,34152.88166,
DNK,GDP,TOT,USD_CAP,A,2006,37291.22597,
DNK,GDP,TOT,USD_CAP,A,2007,38975.93653,
DNK,GDP,TOT,USD_CAP,A,2008,41282.99547,
DNK,GDP,TOT,USD_CAP,A,2009,40370.91761,
DNK,GDP,TOT,USD_CAP,A,2010,43037.10381,
DNK,GDP,TOT,USD_CAP,A,2011,44407.94207,
DNK,GDP,TOT,USD_CAP,A,2012,44808.54921,
DNK,GDP,TOT,USD_CAP,A,2013,46742.93966,
DNK,GDP,TOT,USD_CAP,A,2014,47905.47708,
DNK,GDP,TOT,USD_CAP,A,2015,49071.30504,
DNK,GDP,TOT,USD_CAP,A,2016,51961.77129,
DNK,GDP,TOT,USD_CAP,A,2017,55516.7128,
DNK,GDP,TOT,USD_CAP,A,2018,57408.51381,
DNK,GDP,TOT,USD_CAP,A,2019,60194.51413,
FIN,GDP,TOT,USD_CAP,A,2005,32051.76289,
FIN,GDP,TOT,USD_CAP,A,2006,34413.34505,
FIN,GDP,TOT,USD_CAP,A,2007,37799.16769,
FIN,GDP,TOT,USD_CAP,A,2008,40083.70194,
FIN,GDP,TOT,USD_CAP,A,2009,38008.61163,
FIN,GDP,TOT,USD_CAP,A,2010,38982.16869,
FIN,GDP,TOT,USD_CAP,A,2011,40916.64733,
FIN,GDP,TOT,USD_CAP,A,2012,40872.8548,
FIN,GDP,TOT,USD_CAP,A,2013,41492.91842,
FIN,GDP,TOT,USD_CAP,A,2014,41749.86473,
FIN,GDP,TOT,USD_CAP,A,2015,42501.61153,
FIN,GDP,TOT,USD_CAP,A,2016,44929.94942,
FIN,GDP,TOT,USD_CAP,A,2017,47501.75256,
FIN,GDP,TOT,USD_CAP,A,2018,49376.60085,
FIN,GDP,TOT,USD_CAP,A,2019,51414.02997,
ISL,GDP,TOT,USD_CAP,A,2005,37338.14056,
ISL,GDP,TOT,USD_CAP,A,2006,39020.81962,
ISL,GDP,TOT,USD_CAP,A,2007,41179.17306,
ISL,GDP,TOT,USD_CAP,A,2008,43049.00303,
ISL,GDP,TOT,USD_CAP,A,2009,41844.99533,
ISL,GDP,TOT,USD_CAP,A,2010,39611.70236,
ISL,GDP,TOT,USD_CAP,A,2011,40769.02479,
ISL,GDP,TOT,USD_CAP,A,2012,41928.43345,
ISL,GDP,TOT,USD_CAP,A,2013,44152.64279,
ISL,GDP,TOT,USD_CAP,A,2014,45712.83768,
ISL,GDP,TOT,USD_CAP,A,2015,48856.5609,
ISL,GDP,TOT,USD_CAP,A,2016,53031.6053,
ISL,GDP,TOT,USD_CAP,A,2017,55562.42666,
ISL,GDP,TOT,USD_CAP,A,2018,57745.58816,
ISL,GDP,TOT,USD_CAP,A,2019,60180.12741,
NOR,GDP,TOT,USD_CAP,A,2005,47800.54063,
NOR,GDP,TOT,USD_CAP,A,2006,54091.40767,
NOR,GDP,TOT,USD_CAP,A,2007,55874.24183,
NOR,GDP,TOT,USD_CAP,A,2008,61719.34366,
NOR,GDP,TOT,USD_CAP,A,2009,55414.35907,
NOR,GDP,TOT,USD_CAP,A,2010,57961.36037,
NOR,GDP,TOT,USD_CAP,A,2011,62077.8458,
NOR,GDP,TOT,USD_CAP,A,2012,65349.21616,
NOR,GDP,TOT,USD_CAP,A,2013,66956.28596,
NOR,GDP,TOT,USD_CAP,A,2014,65895.66761,
NOR,GDP,TOT,USD_CAP,A,2015,60368.91004,
NOR,GDP,TOT,USD_CAP,A,2016,58917.28833,
NOR,GDP,TOT,USD_CAP,A,2017,62940.20304,
NOR,GDP,TOT,USD_CAP,A,2018,67639.11207,
NOR,GDP,TOT,USD_CAP,A,2019,66830.56915,
SWE,GDP,TOT,USD_CAP,A,2005,34244.35929,
SWE,GDP,TOT,USD_CAP,A,2006,37684.67388,
SWE,GDP,TOT,USD_CAP,A,2007,40862.61193,
SWE,GDP,TOT,USD_CAP,A,2008,42158.46561,
SWE,GDP,TOT,USD_CAP,A,2009,40318.29264,
SWE,GDP,TOT,USD_CAP,A,2010,42252.26608,
