"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HHDI","NET","AGRWTH","A","2005",2.14521373974023,
"DNK","HHDI","NET","AGRWTH","A","2006",2.41971970773541,
"DNK","HHDI","NET","AGRWTH","A","2007",-0.19223291189504,
"DNK","HHDI","NET","AGRWTH","A","2008",0.386922033339913,
"DNK","HHDI","NET","AGRWTH","A","2009",2.71161092836509,
"DNK","HHDI","NET","AGRWTH","A","2010",3.35136452548455,
"DNK","HHDI","NET","AGRWTH","A","2011",0.881886051731641,
"DNK","HHDI","NET","AGRWTH","A","2012",-0.074168625938203,
"DNK","HHDI","NET","AGRWTH","A","2013",1.12609162483813,
"DNK","HHDI","NET","AGRWTH","A","2014",1.51444319596729,
"DNK","HHDI","NET","AGRWTH","A","2015",3.58712102877075,
"DNK","HHDI","NET","AGRWTH","A","2016",3.36022062995889,
"DNK","HHDI","NET","AGRWTH","A","2017",1.79810941002071,
"DNK","HHDI","NET","AGRWTH","A","2018",1.72442162211856,
"FIN","HHDI","NET","AGRWTH","A","2005",1.46887082232829,
"FIN","HHDI","NET","AGRWTH","A","2006",2.06058172978333,
"FIN","HHDI","NET","AGRWTH","A","2007",3.25076213535495,
"FIN","HHDI","NET","AGRWTH","A","2008",2.2461683007339,
"FIN","HHDI","NET","AGRWTH","A","2009",0.870246464231324,
"FIN","HHDI","NET","AGRWTH","A","2010",2.43925365032351,
"FIN","HHDI","NET","AGRWTH","A","2011",0.678487805169037,
"FIN","HHDI","NET","AGRWTH","A","2012",-0.034319583814136,
"FIN","HHDI","NET","AGRWTH","A","2013",0.054133882857284,
"FIN","HHDI","NET","AGRWTH","A","2014",-0.371823359576915,
"FIN","HHDI","NET","AGRWTH","A","2015",1.12855853362934,
"FIN","HHDI","NET","AGRWTH","A","2016",1.86741252015955,
"FIN","HHDI","NET","AGRWTH","A","2017",1.16368534422045,
"FIN","HHDI","NET","AGRWTH","A","2018",1.9958683081536,
"FIN","HHDI","NET","AGRWTH","A","2019",1.69806425296218,
"NOR","HHDI","NET","AGRWTH","A","2005",7.31297285701478,
"NOR","HHDI","NET","AGRWTH","A","2006",-4.63861035016578,
"NOR","HHDI","NET","AGRWTH","A","2007",5.37316583294613,
"NOR","HHDI","NET","AGRWTH","A","2008",3.08711797389663,
"NOR","HHDI","NET","AGRWTH","A","2009",3.98602174643513,
"NOR","HHDI","NET","AGRWTH","A","2010",2.26706305851899,
"NOR","HHDI","NET","AGRWTH","A","2011",3.27804606653183,
"NOR","HHDI","NET","AGRWTH","A","2012",3.80654391540557,
"NOR","HHDI","NET","AGRWTH","A","2013",3.10173704228826,
"NOR","HHDI","NET","AGRWTH","A","2014",2.50897142845829,
"NOR","HHDI","NET","AGRWTH","A","2015",4.43552869853332,
"NOR","HHDI","NET","AGRWTH","A","2016",-0.783919746480086,
"NOR","HHDI","NET","AGRWTH","A","2017",1.33296231273889,
"NOR","HHDI","NET","AGRWTH","A","2018",1.98438047891222,
"SWE","HHDI","NET","AGRWTH","A","2005",2.45795369175614,
"SWE","HHDI","NET","AGRWTH","A","2006",4.23759325985061,
"SWE","HHDI","NET","AGRWTH","A","2007",4.30127599006498,
"SWE","HHDI","NET","AGRWTH","A","2008",2.63936530445729,
"SWE","HHDI","NET","AGRWTH","A","2009",1.68656025920476,
"SWE","HHDI","NET","AGRWTH","A","2010",2.63213096055348,
"SWE","HHDI","NET","AGRWTH","A","2011",2.79534829440261,
"SWE","HHDI","NET","AGRWTH","A","2012",3.05007531298248,
"SWE","HHDI","NET","AGRWTH","A","2013",1.64927499251763,
"SWE","HHDI","NET","AGRWTH","A","2014",1.8675390521776,
"SWE","HHDI","NET","AGRWTH","A","2015",2.74000361673181,
"SWE","HHDI","NET","AGRWTH","A","2016",3.86460717981771,
"SWE","HHDI","NET","AGRWTH","A","2017",1.31449596716969,
"SWE","HHDI","NET","AGRWTH","A","2018",1.33453982216999,
"SWE","HHDI","NET","AGRWTH","A","2019",2.43050051431589,
