LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,HOUSECOST,NOMINAL,IDX2015,A,2000,54.1094119,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2001,57.27134151,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2002,59.3396714,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2003,62.29090573,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2004,69.11742279,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2005,82.97095743,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2006,102.9257573,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2007,105.6767642,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2008,100.2002505,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2009,88.19722049,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2010,90.67297668,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2011,89.12222281,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2012,86.74696687,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2013,90.09772524,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2014,93.49873375,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2016,104.7265118,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2017,109.3777734,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2018,114.5287863,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2019,117.5297938,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2000,85.83985236,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2001,85.88895878,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2002,85.21831138,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2003,86.45005437,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2004,92.82387973,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2005,107.021981,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2006,127.5491557,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2007,130.3751183,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2008,122.1713314,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2009,104.1675103,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2010,101.3051952,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2011,96.57663629,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2012,92.36869545,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2013,94.34482953,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2014,97.0662145,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2015,100,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2016,100.9289774,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2017,102.6233224,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2018,104.5791364,
DNK,HOUSECOST,PRICEINCOME,IDX2015,A,2019,104.7223927,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2000,78.15125504,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2001,80.4570604,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2002,81.32308505,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2003,83.05908657,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2004,89.71654449,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2005,105.1958994,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2006,127.9147145,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2007,128.6606648,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2008,118.7388907,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2009,101.4028832,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2010,101.4285868,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2011,96.81033438,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2012,91.8399717,
DNK,HOUSECOST,PRICERENT,IDX2015,A,2013,93.41504906,
