LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,WKGPOP,TOT,PC_POP,A,2005,66.12,
DNK,WKGPOP,TOT,PC_POP,A,2006,66.086,
DNK,WKGPOP,TOT,PC_POP,A,2007,66.018,
DNK,WKGPOP,TOT,PC_POP,A,2008,65.893,
DNK,WKGPOP,TOT,PC_POP,A,2009,65.691,
DNK,WKGPOP,TOT,PC_POP,A,2010,65.419,
DNK,WKGPOP,TOT,PC_POP,A,2011,65.082,
DNK,WKGPOP,TOT,PC_POP,A,2012,64.788,
DNK,WKGPOP,TOT,PC_POP,A,2013,64.576,
DNK,WKGPOP,TOT,PC_POP,A,2014,64.447,
DNK,WKGPOP,TOT,PC_POP,A,2015,64.365,
DNK,WKGPOP,TOT,PC_POP,A,2016,64.261,
DNK,WKGPOP,TOT,PC_POP,A,2017,64.132,
DNK,WKGPOP,TOT,PC_POP,A,2018,63.967,
FIN,WKGPOP,TOT,PC_POP,A,2005,66.703,
FIN,WKGPOP,TOT,PC_POP,A,2006,66.599,
FIN,WKGPOP,TOT,PC_POP,A,2007,66.535,
FIN,WKGPOP,TOT,PC_POP,A,2008,66.565,
FIN,WKGPOP,TOT,PC_POP,A,2009,66.453,
FIN,WKGPOP,TOT,PC_POP,A,2010,66.182,
FIN,WKGPOP,TOT,PC_POP,A,2011,65.69,
FIN,WKGPOP,TOT,PC_POP,A,2012,65.106,
FIN,WKGPOP,TOT,PC_POP,A,2013,64.504,
FIN,WKGPOP,TOT,PC_POP,A,2014,63.933,
FIN,WKGPOP,TOT,PC_POP,A,2015,63.435,
FIN,WKGPOP,TOT,PC_POP,A,2016,63.029,
FIN,WKGPOP,TOT,PC_POP,A,2017,62.656,
FIN,WKGPOP,TOT,PC_POP,A,2018,62.317,
ISL,WKGPOP,TOT,PC_POP,A,2005,66.211,
ISL,WKGPOP,TOT,PC_POP,A,2006,66.836,
ISL,WKGPOP,TOT,PC_POP,A,2007,67.345,
ISL,WKGPOP,TOT,PC_POP,A,2008,67.527,
ISL,WKGPOP,TOT,PC_POP,A,2009,67.296,
ISL,WKGPOP,TOT,PC_POP,A,2010,66.932,
ISL,WKGPOP,TOT,PC_POP,A,2011,66.714,
ISL,WKGPOP,TOT,PC_POP,A,2012,66.52,
ISL,WKGPOP,TOT,PC_POP,A,2013,66.333,
ISL,WKGPOP,TOT,PC_POP,A,2014,66.187,
ISL,WKGPOP,TOT,PC_POP,A,2015,66.12,
ISL,WKGPOP,TOT,PC_POP,A,2016,66.183,
ISL,WKGPOP,TOT,PC_POP,A,2017,66.417,
ISL,WKGPOP,TOT,PC_POP,A,2018,66.695,
NOR,WKGPOP,TOT,PC_POP,A,2005,65.648,
NOR,WKGPOP,TOT,PC_POP,A,2006,65.876,
NOR,WKGPOP,TOT,PC_POP,A,2007,66.106,
NOR,WKGPOP,TOT,PC_POP,A,2008,66.258,
NOR,WKGPOP,TOT,PC_POP,A,2009,66.27,
NOR,WKGPOP,TOT,PC_POP,A,2010,66.208,
NOR,WKGPOP,TOT,PC_POP,A,2011,66.126,
NOR,WKGPOP,TOT,PC_POP,A,2012,66.03,
NOR,WKGPOP,TOT,PC_POP,A,2013,65.932,
NOR,WKGPOP,TOT,PC_POP,A,2014,65.838,
NOR,WKGPOP,TOT,PC_POP,A,2015,65.743,
NOR,WKGPOP,TOT,PC_POP,A,2016,65.608,
NOR,WKGPOP,TOT,PC_POP,A,2017,65.435,
NOR,WKGPOP,TOT,PC_POP,A,2018,65.274,
SWE,WKGPOP,TOT,PC_POP,A,2005,65.313,
SWE,WKGPOP,TOT,PC_POP,A,2006,65.546,
SWE,WKGPOP,TOT,PC_POP,A,2007,65.669,
SWE,WKGPOP,TOT,PC_POP,A,2008,65.629,
SWE,WKGPOP,TOT,PC_POP,A,2009,65.436,
SWE,WKGPOP,TOT,PC_POP,A,2010,65.118,
SWE,WKGPOP,TOT,PC_POP,A,2011,64.7,
SWE,WKGPOP,TOT,PC_POP,A,2012,64.235,
SWE,WKGPOP,TOT,PC_POP,A,2013,63.759,
SWE,WKGPOP,TOT,PC_POP,A,2014,63.319,
SWE,WKGPOP,TOT,PC_POP,A,2015,62.959,
SWE,WKGPOP,TOT,PC_POP,A,2016,62.702,
SWE,WKGPOP,TOT,PC_POP,A,2017,62.522,
SWE,WKGPOP,TOT,PC_POP,A,2018,62.377,
OECD,WKGPOP,TOT,PC_POP,A,2005,66.746,
OECD,WKGPOP,TOT,PC_POP,A,2006,66.786,
OECD,WKGPOP,TOT,PC_POP,A,2007,66.799,
OECD,WKGPOP,TOT,PC_POP,A,2008,66.751,
OECD,WKGPOP,TOT,PC_POP,A,2009,66.691,
OECD,WKGPOP,TOT,PC_POP,A,2010,66.665,
OECD,WKGPOP,TOT,PC_POP,A,2011,66.602,
OECD,WKGPOP,TOT,PC_POP,A,2012,66.357,
OECD,WKGPOP,TOT,PC_POP,A,2013,66.12,
OECD,WKGPOP,TOT,PC_POP,A,2014,65.88,
OECD,WKGPOP,TOT,PC_POP,A,2015,65.692,
OECD,WKGPOP,TOT,PC_POP,A,2016,65.501,
OECD,WKGPOP,TOT,PC_POP,A,2017,65.298,
OECD,WKGPOP,TOT,PC_POP,A,2018,65.104,
